"","EvseID","ChargingStationId","Accessibility","latitude","longitude","City","Country","PostalCode","Street","IsOpen24Hours","LastUpdate","DynamicInfoAvailable","DynamicPowerLevel","ChargingFacility_power","ChargingFacility_powertype"
"6424","CH*CCI*E21214","CH*CCI*E21214","Paying publicly accessible",47.42245,9.374,"St. Gallen","CHE","9000","Gartenstrasse 8",TRUE,NA,"true","",22,"AC_3_PHASE"
"6425","CH*CCI*E20367","CH*CCI*E20367","Paying publicly accessible",46.22441,6.100902,"Genève","CHE","1215","Route de Pré-Bois 20",TRUE,NA,"true","",22,"AC_3_PHASE"
"6426","CH*CCI*E21213","CH*CCI*E21213","Paying publicly accessible",47.42245,9.374,"St. Gallen","CHE","9000","Gartenstrasse 8",TRUE,NA,"true","",22,"AC_3_PHASE"
"6427","CH*CCI*E20366","CH*CCI*E20366","Paying publicly accessible",47.203834,7.557104,"Zuchwil","CHE","4528","Hauptstrasse 65",TRUE,NA,"true","",11,"AC_3_PHASE"
"6428","CH*CCC*E50107","CH*CCC*E50107","Paying publicly accessible",47.507381,7.555654,"Oberwil","CHE","4104","Grenzweg 1",TRUE,NA,"true","",22,"AC_3_PHASE"
"6429","CH*CCC*E50108","CH*CCC*E50108","Paying publicly accessible",47.507381,7.555654,"Oberwil","CHE","4104","Grenzweg 1",TRUE,NA,"true","",22,"AC_3_PHASE"
"6430","CH*CCC*E50109","CH*CCC*E50109","Paying publicly accessible",47.350537,7.901594,"Olten","CHE","4600","Munzingerplatz / Konradstrasse 1",TRUE,NA,"true","",22,"AC_3_PHASE"
"6431","CH*CCC*E50587","CH*CCC*E50587","Paying publicly accessible",47.36375,9.555458,"Altstätten","CHE","9450","Oberrieterstrasse 87",TRUE,NA,"true","",22,"AC_3_PHASE"
"6432","CH*CCC*E50103","CH*CCC*E50103","Paying publicly accessible",46.773701,6.649475,"Yverdon-les-Bains","CHE","1400","Av. des Bains 21",TRUE,NA,"true","",22,"AC_3_PHASE"
"6433","CH*CCC*E50104","CH*CCC*E50104","Paying publicly accessible",47.334791,7.841529,"Hägendorf","CHE","4614","Eigasse 9",TRUE,NA,"true","",20,"DC"
"6434","CH*CCC*E50105","CH*CCC*E50105","Paying publicly accessible",47.334791,7.841529,"Hägendorf","CHE","4614","Eigasse 9",TRUE,NA,"true","",30,"DC"
"6435","CH*SOC*E5102*1B","CH*SOC*E5102*1B","Paying publicly accessible",47.396309,8.440028,"Schlieren","CHE","8952","Schlieren, Badenerstrasse 41",TRUE,NA,"true","",90,"DC"
"6436","CH*CCC*E50106","CH*CCC*E50106","Paying publicly accessible",47.334791,7.841529,"Hägendorf","CHE","4614","Eigasse 9",TRUE,NA,"true","",22,"AC_3_PHASE"
"6437","CH*CCI*E21205","CH*CCI*E21205","Paying publicly accessible",47.14141,8.12936,"Nottwil","CHE","6207","Guido A. Zäch Strasse 1.2",TRUE,NA,"true","",22,"AC_3_PHASE"
