AccessibilityLocation,Street,City,PostalCode,Country,AuthenticationModes,ChargingFacilities,ChargingStationNames,DynamicInfoAvailable,HotlinePhoneNumber,HubOperatorID,IsHubjectCompatible,IsOpen24Hours,PaymentOptions,Plugs,RenewableEnergy,Accessibility,ChargingStationId,GeoCoordinates,lastUpdate,EvseID
OnStreet,Kehrstrasse 10,Dintikon,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,Lyreco Switzerland AG,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62381,47.375717 8.2278541,2024-10-04T02:15:04.053Z,CH*SWI*E92878
OnStreet,Tribschenstrasse 61,Luzern,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,EM Luzern,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62458,47.04272104 8.31713144,2024-10-04T02:15:04.053Z,CH*SWI*E250067
OnStreet,Kehrstrasse 10,Dintikon,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,Lyreco Switzerland AG,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62381,47.375717 8.2278541,2024-10-04T02:15:04.053Z,CH*SWI*E92903
OnStreet,Tribschenstrasse 61,Luzern,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,EM Luzern,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62458,47.04272104 8.31713144,2024-10-04T02:15:04.053Z,CH*SWI*E62458
OnStreet,Ägeristrasse 21,Sattel,6417,CHE,"NFC RFID Classic, REMOTE",11 AC_3_PHASE,Garage Kryenbühl,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E6250,47.082888 8.628249,2024-10-04T02:15:04.053Z,CH*SWI*E6250
OnStreet,Rue Eugène Marziano 14,Genève,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,EM Genève,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62598,46.19314428 6.13037853,2024-10-04T02:15:04.053Z,CH*SWI*E62598
OnStreet,Parking 6,Kloten,0,CHE,"NFC RFID Classic, REMOTE",11 AC_3_PHASE,Flughafen Zürich / Parking 6 -Park&Charge Level 6,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62948,47.452855 8.566639,2024-10-04T02:15:04.053Z,CH*SWI*E18459
OnStreet,Rue Eugène Marziano 14,Genève,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,EM Genève,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62598,46.19314428 6.13037853,2024-10-04T02:15:04.053Z,CH*SWI*E62599
OnStreet,Parking 6,Kloten,0,CHE,"NFC RFID Classic, REMOTE",11 AC_3_PHASE,Flughafen Zürich / Parking 6 -Park&Charge Level 6,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62948,47.452855 8.566639,2024-10-04T02:15:04.053Z,CH*SWI*E18462
OnStreet,Chrummweid 1,Rain,0,CHE,"NFC RFID Classic, REMOTE",11 AC_3_PHASE,AyurVeda,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62944,47.13077435 8.25257741,2024-10-04T02:15:04.053Z,CH*SWI*E62945
OnStreet,Parking 6,Kloten,0,CHE,"NFC RFID Classic, REMOTE",11 AC_3_PHASE,Flughafen Zürich / Parking 6 -Park&Charge Level 6,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62948,47.452855 8.566639,2024-10-04T02:15:04.053Z,CH*SWI*E18463
OnStreet,Parking 6,Kloten,0,CHE,"NFC RFID Classic, REMOTE",11 AC_3_PHASE,Flughafen Zürich / Parking 6 -Park&Charge Level 6,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62948,47.452855 8.566639,2024-10-04T02:15:04.053Z,CH*SWI*E18465
OnStreet,Parking 6,Kloten,0,CHE,"NFC RFID Classic, REMOTE",11 AC_3_PHASE,Flughafen Zürich / Parking 6 -Park&Charge Level 6,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62948,47.452855 8.566639,2024-10-04T02:15:04.053Z,CH*SWI*E18471
OnStreet,Parking 6,Kloten,0,CHE,"NFC RFID Classic, REMOTE",11 AC_3_PHASE,Flughafen Zürich / Parking 6 -Park&Charge Level 6,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62948,47.452855 8.566639,2024-10-04T02:15:04.053Z,CH*SWI*E18464
OnStreet,Parking 6,Kloten,0,CHE,"NFC RFID Classic, REMOTE",11 AC_3_PHASE,Flughafen Zürich / Parking 6 -Park&Charge Level 6,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62948,47.452855 8.566639,2024-10-04T02:15:04.053Z,CH*SWI*E18476
OnStreet,Parking 6,Kloten,0,CHE,"NFC RFID Classic, REMOTE",11 AC_3_PHASE,Flughafen Zürich / Parking 6 -Park&Charge Level 6,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62948,47.452855 8.566639,2024-10-04T02:15:04.053Z,CH*SWI*E18474
OnStreet,Parking 6,Kloten,0,CHE,"NFC RFID Classic, REMOTE",11 AC_3_PHASE,Flughafen Zürich / Parking 6 -Park&Charge Level 6,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62948,47.452855 8.566639,2024-10-04T02:15:04.053Z,CH*SWI*E18482
OnStreet,Parking 6,Kloten,0,CHE,"NFC RFID Classic, REMOTE",11 AC_3_PHASE,Flughafen Zürich / Parking 6 -Park&Charge Level 6,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62948,47.452855 8.566639,2024-10-04T02:15:04.053Z,CH*SWI*E18475
OnStreet,Parking 6,Kloten,0,CHE,"NFC RFID Classic, REMOTE",11 AC_3_PHASE,Flughafen Zürich / Parking 6 -Park&Charge Level 6,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62948,47.452855 8.566639,2024-10-04T02:15:04.053Z,CH*SWI*E18479
OnStreet,Parking 6,Kloten,0,CHE,"NFC RFID Classic, REMOTE",11 AC_3_PHASE,Flughafen Zürich / Parking 6 -Park&Charge Level 6,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62948,47.452855 8.566639,2024-10-04T02:15:04.053Z,CH*SWI*E18478
OnStreet,Parking 6,Kloten,0,CHE,"NFC RFID Classic, REMOTE",11 AC_3_PHASE,Flughafen Zürich / Parking 6 -Park&Charge Level 6,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62948,47.452855 8.566639,2024-10-04T02:15:04.053Z,CH*SWI*E18460
OnStreet,Parking 6,Kloten,0,CHE,"NFC RFID Classic, REMOTE",11 AC_3_PHASE,Flughafen Zürich / Parking 6 -Park&Charge Level 6,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62948,47.452855 8.566639,2024-10-04T02:15:04.053Z,CH*SWI*E18466
OnStreet,Tribschenstrasse 61,Luzern,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,EM Luzern,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E62458,47.04272104 8.31713144,2024-10-04T02:15:04.053Z,CH*SWI*E250066
